autor bonnie jeromediemilia,"aut=jeromediemilia, bonnie%"
autor jeanclaude germain,"aut=germain jeanclaude%"
autor francisca calado,"aut=calado francisca%"
autor luc silance,"aut=silance luc%"
autor luis martins da costa,"aut=costa luis martins da%"
autor a. paula brito,"aut=brito a. paula%"
autor ph reville,"aut=reville, ph%"
autor manuel martins costa,"aut=costa manuel martins%"
autor portugal direccao geral dos desportos,"aut=portugal direccao geral dos desportos%"
autor benito castejon paz,"aut=castejon paz benito%"
autor ludwig guttmann,"aut=guttmann ludwig%"
autor joao c. boaventura,"aut=boaventura joao c.%"
autor antonio pedro,"aut=pedro antonio%"
autor perolof astrand,"aut=astrand, perolof%"
autor george godber,"aut=godber george%"
autor u. claeys,"aut=claeys u.%"
autor jacques rouyer,"aut=rouyer jacques%"
autor carlos miranda,"aut=miranda carlos%"
autor michel bouet,"aut=bouet michel%"
autor claude vasseur,"aut=vasseur claude%"
autor dragomir mateev,"aut=mateev dragomir%"
autor federacao portuguesa de voleibol,"aut=federacao portuguesa de voleibol%"
autor alfredo melo de carvalho,"aut=carvalho alfredo melo de%"
autor pedro essinague,"aut=essinague pedro%"
autor alan wilson,"aut=wilson, alan%"
autor arnaldo pereira,"aut=pereira arnaldo%"
autor luis pimparel,"aut=pimparel luis%"
autor federacao portuguesa de atletismo,"aut=federacao portuguesa de atletismo%"
autor manuel sergio,"aut=sergio,  manuel%"
autor sector escolar da dgd,"aut=sector escolar da d.g.d.%"
autor luc silance,"aut=silance, luc%"
autor gaby de mascarenhas reis,"aut=reis, gaby de mascarenhas%"
autor conselho da europa,"aut=conselho da europa%"
autor portugal fiba,"aut=portugal fiba%"
autor cristina de mello,"aut=mello, cristina de%"
autor marcel rouet,"aut=rouet, marcel%"
autor carla de queiroz,"aut=queiroz, carla de%"
autor manuel joao gomes,"aut=gomes, manuel joao%"
autor jose antonio calixto,"aut=calixto jose antonio%"
autor maria helena bandeira bras,"aut=bras maria helena bandeira%"
autor isabel veiga,"aut=veiga, isabel%"
autor aldonio gomes,"aut=gomes, aldonio%"
autor  comissao de reforma do sistema educativo,"aut=comissao de reforma do sistema educativo%"
autor almeida goncalves,"aut=goncalves almeida%"
autor paul m. sweezy,"aut=sweezy paul m.%"
autor leo huberman,"aut=huberman leo%"
autor antonio jose massano,"aut=massano antonio jose%"
autor fernando guedes,"aut=guedes fernando%"
autor federacao portuguesa de xadrez,"aut=federacao portuguesa de xadrez%"
autor alvaro carmo vaz,"aut=vaz, alvaro carmo%"
autor robin kerrod,"aut=kerrod robin%"
autor heather couper,"aut=couper heather%"
autor javad badar,"aut=badar javad%"
autor ana maria rocha,"aut=rocha ana maria%"
autor antonio jose rocha,"aut=rocha antonio jose%"
autor j. albano santos,"aut=santos, j. albano%"
autor forum ambiente,"aut=forum ambiente%"
autor antonio amorim,"aut=amorim antonio%"
autor portugal secretaria de estado da seguranca social e das relacoes laborais,"aut=portugal secretaria de estado da seguranca social e das relacoes laborais%"
autor jorge umbelino,"aut=umbelino, jorge%"
autor universidade nova de lisboa faculdade de ciencias sociais e humanas,"aut=universidade nova de lisboa. faculdade de ciencias sociais e humanas%"
autor sergio ribeiro,"aut=ribeiro, sergio%"
autor artur fernandes baptista,"aut=baptista, artur fernandes%"
autor priscilla strain,"aut=strain, priscilla%"
autor frederick engle,"aut=engle, frederick%"
autor suzana noronha cunha,"aut=cunha, suzana noronha%"
autor paul thomas,"aut=thomas, paul%"
autor amelia madureira,"aut=madureira, amelia%"
autor david c. flint,"aut=flint, david c.%"
autor beatriz pinto,"aut=pinto, beatriz%"
autor kelvin gosnell,"aut=gosnell, kelvin%"
autor ctherine bradley,"aut=bradley, ctherine%"
autor felix rodriguez de la fuente,"aut=fuente, felix rodriguez de la%"
autor michael dunning,"aut=dunning, michael%"
autor maria dulce teles meneses,"aut=meneses, maria dulce teles%"
autor rhodes w. fairbridge,"aut=fairbridge, rhodes w.%"
autor karlos perez armino,"aut=armino, karlos perez%"
autor alphonse daudet,"aut=daudet alphonse%"
autor jules renard,"aut=renard, jules%"
autor lidia augusta elias,"aut=elias lidia augusta%"
autor guy de maupassant,"aut=maupassant guy de%"
autor angela wilkes,"aut=wilkes angela%"
autor john shackell,"aut=shackell john%"
autor maria do ceu barros de sa lima,"aut=lima maria do ceu barros de sa%"
autor maria adelaide magalhaes melo,"aut=melo maria adelaide magalhaes%"
autor norberto moreira,"aut=moreira, norberto%"
autor ana von hafe,"aut=hafe, ana von%"
autor teresa g. graca,"aut=graca, teresa g.%"
autor maria joao rabaca,"aut=rabaca, maria joao%"
autor ana luisa garcia,"aut=garcia, ana luisa%"
autor paula gomes,"aut=gomes, paula%"
autor maria edite frias,"aut=frias, maria edite%"
autor lester brown,"aut=brown, lester%"
autor michael renner,"aut=renner, michael%"
autor brian halwell,"aut=halwell, brian%"
autor john ross,"aut=ross, john%"
autor jonh stover,"aut=stover, jonh%"
autor amy willard,"aut=willard, amy%"
autor roger hargreaves,"aut=hargreaves, roger%"
autor  sempe,"aut=sempe%"
autor claude kannas,"aut=kannas, claude%"
autor j. h. stephens,"aut=stephens, j. h.%"
autor m. lobe,"aut=lobe, m.%"
autor s. weigel,"aut=weigel, s.%"
autor p. delre,"aut=delre, p.%"
autor j. selke,"aut=selke, j.%"
autor andre bultreys,"aut=bultreys, andre%"
autor aileen traver kitchin,"aut=kitchin, aileen traver%"
autor gerhard kirchhoff,"aut=kirchhoff, gerhard%"
autor portugal fundacao calouste gulbenkian,"aut=portugal. fundacao calouste gulbenkian%"
autor  centro de arte moderna,"aut=centro de arte moderna%"
autor james gareth endicott,"aut=endicott, james gareth%"
autor isabel faria,"aut=faria, isabel%"
autor alice maria mateus leal de almeida frias,"aut=frias, alice maria mateus leal de almeida%"
autor paulo afonso,"aut=afonso, paulo%"
autor louis jacquemin,"aut=jacquemin, louis%"
autor c. moliterni,"aut=moliterni, c.%"
autor p. dupuis,"aut=dupuis, p.%"
autor th. roland,"aut=roland, th.%"
autor domingos guimaraes de sa,"aut=sa, domingos guimaraes de%"
autor vitor manuel de aguiar e silva,"aut=silva, vitor manuel de aguiar e%"
autor maria luisa alvares  pereira,"aut=pereira, maria luisa alvares%"
autor helmut arntz,"aut=arntz, helmut%"
autor canada ministere des affaires exterieures,"aut=canada ministere des affaires exterieures%"
autor annie trainaud,"aut=trainaud, annie%"
autor africa do sul ministerio dos negocios estrangeiros e da informacao da africa do sul,"aut=africa do sul ministerio dos negocios estrangeiros e da informacao da africa do sul%"
autor alvaro ferreira gomes,"aut=gomes, alvaro ferreira%"
autor noemi gutierez ferreira,"aut=ferreira,  noemi gutierez%"
autor fabienne faucqueur,"aut=faucqueur, fabienne%"
autor alfredo laranjinha,"aut=laranjinha, alfredo%"
autor f.sintra encarnacao,"aut=encarnacao, f.sintra%"
autor carlos alberto goncalves,"aut=goncalves, carlos alberto%"
autor joao paulo almeida,"aut=almeida, joao paulo%"
autor cecilia longo,"aut=longo, cecilia%"
autor federacao portuguesa de badminton,"aut=federacao portuguesa de badminton%"
autor manuel de puga goncalves,"aut=goncalves, manuel de puga%"
autor ministerio da educacao e investigacao cientifica,"aut=ministerio da educacao e investigacao cientifica%"
autor teotonio lima,"aut=lima, teotonio%"
autor joachim peters,"aut=peters, joachim%"
autor geraldo moser,"aut=moser, geraldo%"
autor andree alvernhe,"aut=alvernhe, andree%"
autor yves brunsvick,"aut=brunsvick, yves%"
autor unired nations conference on trade and development,"aut=unired nations conference on trade and development%"
autor joao oliveira,"aut=oliveira, joao%"
autor deanna binder,"aut=binder, deanna%"
autor maria emilia fonseca,"aut=fonseca, maria emilia%"
autor micha louvish,"aut=louvish, micha%"
autor estevao pinto,"aut=pinto, estevao%"
autor p. de prins,"aut=prins, p. de%"
autor diana agosti,"aut=agosti, diana%"
autor presidenza del consiglio dei ministri,"aut=presidenza del consiglio dei ministri%"
autor office of communication and public information,"aut=office of communication and public information%"
autor departamento de informacao das nacoes unidas,"aut=departamento de informacao das nacoes unidas%"
autor carlos barbachano,"aut=barbachano, carlos%"
autor frances vicens,"aut=vicens, frances%"
autor emiliano aguirre,"aut=aguirre, emiliano%"
autor juan maestro alfonso,"aut=alfonso, juan maestro%"
autor luce filliol,"aut=filliol, luce%"
autor pierre pelot,"aut=pelot, pierre%"
autor helena ramos,"aut=ramos, helena%"
autor manuel ferrer regales,"aut=regales, manuel ferrer%"
autor maria arias,"aut=arias, maria%"
autor isidoro alonso hinojal,"aut=hinojal, isidoro alonso%"
autor ernest lluch,"aut=lluch, ernest%"
autor irineu garcia,"aut=garcia, irineu%"
autor angelo bento,"aut=bento, angelo%"
autor henri campagnolo,"aut=campagnolo, henri%"
autor gesuina ribeiro,"aut=ribeiro, gesuina%"
autor jose blat gimeno,"aut=gimeno, jose blat%"
autor ricardo marin ibanez,"aut=ibanez, ricardo marin%"
autor marques gastao,"aut=gastao, marques%"
autor direccao geral da administracao educativa,"aut=direccao geral da administracao educativa%"
autor odilia baleiro,"aut=baleiro, odilia%"
autor maria jose maya,"aut=maya, maria jose%"
autor a. h. oliveira marques,"aut=marques, a. h. oliveira%"
autor saddam hussein,"aut=hussein, saddam%"
autor manuela soares faure da rosa,"aut=rosa, manuela soares faure da%"
autor jose amaro,"aut=amaro, jose%"
autor sa cardoso,"aut=cardoso, sa%"
autor jose pernau,"aut=pernau, jose%"
autor ivone martins pedro santos,"aut=santos, ivone martins pedro%"
autor a. tito morais,"aut=morais, a. tito%"
autor giorgio lilli latino,"aut=latino, giorgio lilli%"
autor tulio espanca,"aut=espanca, tulio%"
autor antonio couvinha,"aut=couvinha, antonio%"
autor herminio m. baptista felizardo,"aut=felizardo, herminio m. baptista%"
autor joao paulo oliveira costa,"aut=costa, joao paulo oliveira%"
autor stephane bruchfeld,"aut=bruchfeld, stephane%"
autor paul levine,"aut=levine, paul%"
autor jakob wegelius,"aut=wegelius, jakob%"
autor portugal museu da marinha,"aut=portugal. museu da marinha%"
autor portugal ministerio da educacao nacional,"aut=portugal. ministerio da educacao nacional%"
autor m. e. almeida,"aut=almeida, m. e.%"
autor eduardo marcal grilo,"aut=grilo, eduardo marcal%"
autor portugal direccaogeral do ensino superior,"aut=portugal. direccaogeral do ensino superior%"
autor jacinta bugalhao,"aut=bugalhao, jacinta%"
autor rui carvalho,"aut=carvalho, rui%"
autor camilo de melo,"aut=melo, camilo de%"
autor jacques soustelle,"aut=soustelle, jacques%"
autor mario p. ferreira,"aut=ferreira, mario p.%"
autor graham wootton,"aut=wootton, graham%"
autor edmond jorge,"aut=jorge, edmond%"
autor equipa da escola cs delfim santos,"aut=equipa da escola cs delfim santos%"
autor miguel jasmins rodrigues,"aut=rodrigues, miguel jasmins%"
autor maria do carmo climaco,"aut=climaco, maria do carmo%"
autor maria marcia trigo,"aut=trigo, maria marcia%"
autor henrique perdigao,"aut=perdigao henrique%"
autor paulo madeira rodrigues,"aut=rodrigues paulo madeira%"
autor jose candido,"aut=candido, jose%"
autor jose palla,"aut=palla, jose%"
autor carlos salgado,"aut=salgado carlos%"
autor g. perico,"aut=perico g.%"
autor a. dias costa,"aut=costa, a. dias%"
autor fausto briosa,"aut=briosa fausto%"
autor portugal instituto de desenvolvimento e inspeccao das condicoes de trabalho,"aut=portugal instituto de desenvolvimento e inspeccao das condicoes de trabalho%"
autor filomena teixeira,"aut=teixeira filomena%"
autor jorge vilaca,"aut=vilaca jorge%"
autor  direccao de servicos de informacao e orientacao profissional,"aut=direccao de servicos de informacao e orientacao profissional%"
autor luis alberto maeques  alves,"aut=alves, luis alberto maeques%"
autor elina morais neves,"aut=neves, elina morais%"
autor porto biblioteca publica municipal,"aut=porto biblioteca publica municipal%"
autor departamento de informacao publica,"aut=departamento de informacao publica%"
autor alfredo gomes dias,"aut=dias alfredo gomes%"
autor maria isabel reis,"aut=reis maria isabel%"
autor maria manuel magro,"aut=magro maria manuel%"
autor amilcarino guedes,"aut=guedes amilcarino%"
autor miguel cuna,"aut=cuna miguel%"
autor forrest wilson,"aut=wilson forrest%"
autor goncalo terra,"aut=terra goncalo%"
autor portugal servicos geologicos de portugal,"aut=portugal servicos geologicos de portugal%"
autor lucien j. engelmajer,"aut=engelmajer lucien j.%"
autor daniel pennac,"aut=pennac daniel%"
autor francisco paiva boleo,"aut=boleo francisco paiva%"
autor paula cristina fernandes ferreira,"aut=ferreira, paula cristina fernandes%"
autor egidio namora,"aut=namora, egidio%"
autor santa casa da misericordia da lourinha,"aut=santa casa da misericordia da lourinha%"
autor direccao geral de energia,"aut=direccao geral de energia%"
autor antonio m. teixeira,"aut=teixeira, antonio m.%"
autor francisco ribeiro teles,"aut=teles, francisco ribeiro%"
autor raul serra guedes,"aut=guedes, raul serra%"
autor antonio araujo,"aut=araujo, antonio%"
autor antonio luis,"aut=luis, antonio%"
autor duarte ribeiro candeias,"aut=candeias, duarte ribeiro%"
autor jose veiga simao,"aut=simao, jose veiga%"
autor federacao internacional de planeamento da familia,"aut=federacao internacional de planeamento da familia%"
autor secretaria de estado da modernizacao administrativa,"aut=secretaria de estado da modernizacao administrativa%"
autor secretaria de estado da cultura,"aut=secretaria de estado da cultura%"
autor eulalia paulo,"aut=paulo, eulalia%"
autor raymonde de gans,"aut=gans, raymonde de%"
autor jean dahan,"aut=dahan, jean%"
autor yves verbeek,"aut=verbeek, yves%"
autor bernard gaudin,"aut=gaudin, bernard%"
autor danielle hemmert,"aut=hemmert, danielle%"
autor alex roudene,"aut=roudene, alex%"
autor cosete correia,"aut=correia, cosete%"
autor antonio da silva teles,"aut=teles antonio da silva%"
autor jose luis missionario,"aut=missionario jose luis%"
autor fundacao calouste gulbenkian instituto gulbenkian de ciencia,"aut=fundacao calouste gulbenkian instituto gulbenkian de ciencia%"
autor rogerio fernandes,"aut=fernandes rogerio%"
autor j. salvado sampaio,"aut=sampaio, j. salvado%"
autor alfredo dinis,"aut=dinis alfredo%"
autor universidade catolica portuguesa faculdade de filosofia de braga,"aut=universidade catolica portuguesa faculdade de filosofia de braga%"
autor alberto ferreira,"aut=ferreira alberto%"
autor ana maria extreia,"aut=extreia, ana maria%"
autor portugal liga portuguesa contra o cancro,"aut=portugal. liga portuguesa contra o cancro%"
autor federacao nacional de professores,"aut=federacao nacional de professores%"
autor europa comissao europeia,"aut=europa. comissao europeia%"
autor portugal ministerio da educacao e investigacao cientifica,"aut=portugal. ministerio da educacao e investigacao cientifica%"
autor comissao coordenadora dos textos de apoio,"aut=comissao coordenadora dos textos de apoio%"
autor secretaria de estado da orientacao pedagogica,"aut=secretaria de estado da orientacao pedagogica%"
autor j. sebastiao e silva,"aut=silva, j. sebastiao e%"
autor portugal ministerio da educacao e investigacao cientifica,"aut=portugal ministerio da educacao e investigacao cientifica%"
autor ana gaiaz,"aut=gaiaz, ana%"
autor servico de bibliotecas e apoio a cultura,"aut=servico de bibliotecas e apoio a cultura%"
autor ekaterina andreeva,"aut=andreeva, ekaterina%"
autor guenadi gueorguiev,"aut=gueorguiev, guenadi%"
autor gueorgui miloshev,"aut=miloshev, gueorgui%"
autor nikifor gornenski,"aut=gornenski, nikifor%"
autor cristina zarzosa arrieta,"aut=arrieta, cristina zarzosa%"
autor ian yankov,"aut=yankov, ian%"
autor sindicato dos professores da grande lisboa,"aut=sindicato dos professores da grande lisboa%"
autor jose manuel moroso,"aut=moroso, jose manuel%"
autor jorge lima alves,"aut=alves, jorge lima%"
autor jose cardoso,"aut=cardoso, jose%"
autor jose pedro castanheira,"aut=castanheira, jose pedro%"
autor ministerio dos negocios estrangeiros servico de informacao e apoio cultural,"aut=ministerio dos negocios estrangeiros servico de informacao e apoio cultural%"
autor fenprof,"aut=fenprof%"
autor jose manuel de simoes morais,"aut=morais, jose manuel de simoes%"
